details,seller,title,url
Learns your favorite temperature settings and adjusts Saves on energy bills: up to 12% on heating and 15% on cooling Control remotely through smart device and set up alerts ,Google,Nest Learning Thermostat - Smart Wi-Fi Thermostat - White,https://www.homedepot.com/p/Google-Nest-Learning-Thermostat-Smart-Wi-Fi-Thermostat-White-T3017US/300178655
"Space saving sliding door for closets, laundry rooms, and more Solid core construction for superior durability & sound reduction Includes hardware installation kit ",Choose Your Options,Customizable Sliding Barn Door,https://custom.homedepot.com/p/custom-blinds/Customizable-Sliding-Barn-Door/314796897
9 ft. tall artificial tree adds holiday charm to any room Pre-strung with 900 dual color lights for festive ambiance Low-voltage LEDs are energy efficient and long lasting ,National Tree Company,9 ft. Dunhill Fir Artificial Christmas Tree with Dual Color LED Lights,https://www.homedepot.com/p/National-Tree-Company-9-ft-Dunhill-Fir-Artificial-Christmas-Tree-with-Dual-Color-LED-Lights-DUH-300D-90/205330631
"Adjustable shelf holds up to 600 lbs of evenly distributed weight Constructed of high quality steel for lasting durability NSF certificated. Easy to assemble, no tools required ",HDX,6-Tier Commercial Grade Heavy Duty Steel Wire Shelving Unit in Chrome (48 in. W x 72 in. H x 18 in. D),https://www.homedepot.com/p/HDX-6-Tier-Commercial-Grade-Heavy-Duty-Steel-Wire-Shelving-Unit-in-Chrome-48-in-W-x-72-in-H-x-18-in-D-SL-WSUS-136/305768561
"Heavy duty furniture pads protect hard floors and promote sliding Superior floor protectors for hardwood, laminate, tile and more Ideal for use on furniture feet, pads for chair legs, and more ",Everbilt,1 in. Beige Round Felt Heavy Duty Self-Adhesive Furniture Pads (48-Pack),https://www.homedepot.com/p/Everbilt-1-in-Beige-Round-Felt-Heavy-Duty-Self-Adhesive-Furniture-Pads-48-Pack-49972/203661154
"Track Order
Cards & Accounts
Military Discount
Profile
Product Lists
Security & Password",Commercial Electric,Indoor/Outdoor Full Motion TV Wall Mount for 42 in. - 90 in. TVs,https://www.homedepot.com/p/Commercial-Electric-Indoor-Outdoor-Full-Motion-TV-Wall-Mount-for-42-in-90-in-TVs-MB-62490/322096022
Complete engineered door construction provides a solid feel Composite door and frame provides a rot free system Low -E glass Saves Energy and Saves on heating and cooling costs ,Steves & Sons,Legacy Series Pet Door,https://custom.homedepot.com/p/custom-blinds/Steves-Sons-Legacy-Series-Pet-Door/316008931
Ideal for high speed networks For use with CAT5e connectors and jacks Performance tested to 100 MHz ,Commercial Electric,"15 ft. CAT5e UTP Ethernet Cable, Yellow",https://www.homedepot.com/p/Commercial-Electric-15-ft-CAT5e-UTP-Ethernet-Cable-Yellow-575698-15/202669363
Slim design for easy installation vs other GFCIs Patented reset lockout prevents reset if protection is lost Self-test feature helps ensure GFCI is providing protection ,Leviton,"15 Amp 125-Volt Duplex Self-Test Slim GFCI Outlet, White (4-Pack)",https://www.homedepot.com/p/Leviton-15-Amp-125-Volt-Duplex-Self-Test-Slim-GFCI-Outlet-White-4-Pack-M42-GFNT1-04W/305340141
Attaches fabric to corner post with tension bar and tension bands Galvanized steel for enhanced durability Provides vertical framework for chain-link fabric ,Everbilt,2.38 in. Dia x 6 ft. Galvanized Steel Chain Link Fence Corner Post,https://www.homedepot.com/p/Everbilt-2-38-in-Dia-x-6-ft-Galvanized-Steel-Chain-Link-Fence-Corner-Post-328942DPTSEB/312373071
"Use to solder copper pipes, brazing, heat treating and welding Optimized swirl flame provides maximum heat output Auto start/stop ignition easily ignites and extinguishes flame ",Bernzomatic,TS8000KC Premium Torch Kit,https://www.homedepot.com/p/Bernzomatic-TS8000KC-Premium-Torch-Kit-336638/205683985
"Mounting system fits most existing mounts, including competitors'Compact size & pre-installed power cord equals easy installation Backed by a 10-year limited warranty with In-Home service ",MOEN,Host Series 3/4 HP Continuous Feed Space Saving Garbage Disposal with Sound Reduction and Universal Mount,https://www.homedepot.com/p/MOEN-Host-Series-3-4-HP-Continuous-Feed-Space-Saving-Garbage-Disposal-with-Sound-Reduction-and-Universal-Mount-EX75C/306116684
Pre-routed vinyl post eliminates brackets for easy installation Routed on opposite sides to install panels in a straight line Low maintenance and professional grade vinyl material ,Veranda,Linden 5 in. x 5 in. x 9 ft. White Vinyl Routed Fence Line Post,https://www.homedepot.com/p/Veranda-Linden-5-in-x-5-in-x-9-ft-White-Vinyl-Routed-Fence-Line-Post-73013030/202707694
"Cap covers exposed edges to create a clean, finished look Easy-to-install lattice cap for indoor or outdoor projects Durable, sturdy and virtually maintenance-free ",Veranda,8 ft. White Vinyl Lattice Cap,https://www.homedepot.com/p/Veranda-8-ft-White-Vinyl-Lattice-Cap-70703/202300796
"Gray, indoor/outdoor residential carpet Attractive, resilient, easy-to-clean, and versatile Solution-dyed PET fiber locks color in and locks stains out ",TrafficMaster,Century - Color Gray Wood 6 ft. Indoor/Outdoor Texture Gray Carpet,https://www.homedepot.com/p/TrafficMaster-Century-Color-Gray-Wood-6-ft-Indoor-Outdoor-Texture-Gray-Carpet-ML63W510072S/302721710
Sandbox is unlined and can hold 475 pounds of sand Interlocking design allows for an assembly time of 1 hour or less Keep unwanted insects and animals out of the sandbox with a cover ,Gorilla Playsets,3-3/4 ft. x 3-3/4 ft. x 8 in. Square Interlocking Sandbox with Cover,https://www.homedepot.com/p/Gorilla-Playsets-3-3-4-ft-x-3-3-4-ft-x-8-in-Square-Interlocking-Sandbox-with-Cover-02-3018/207078214
Perfect for accent walls and other DIY projects Can be primed then painted/sealed then stained Meets the highest grading standards for strength and appearance.,ARAUCO,9/16 in. x 5-1/4 in. x 8 ft. Radiata Pine Nickel Gap Ship Lap Board,https://www.homedepot.com/p/ARAUCO-9-16-in-x-5-1-4-in-x-8-ft-Radiata-Pine-Nickel-Gap-Ship-Lap-Board-1186659/300803794
Removes 50 pints of moisture per day-for wet spaces or basement3-fan speeds-for use in high humidity areas up to 4500 sq. ft.Empty bucket alarm alerts you if the bucket is full or missing ,GE,"50-Pint Dehumidifier for Basement, Garage or Wet Rooms up to 4500 sq. ft. in Grey, Smart Dry, ENERGY STAR",https://www.homedepot.com/p/GE-50-Pint-Dehumidifier-for-Basement-Garage-or-Wet-Rooms-up-to-4500-sq-ft-in-Grey-Smart-Dry-ENERGY-STAR-ADHL50LB/322155475
Spring door stop design allows flexibility with door Rubber bumper tip protects the door from getting damaged Satin nickel finish adds a beautiful touch to your home decor ,Everbilt,Satin Nickel Spring Door Stops Value Pack (5-Pack),https://www.homedepot.com/p/Everbilt-Satin-Nickel-Spring-Door-Stops-Value-Pack-5-Pack-28477/314151895
Constructed from quality material for durability Equally spaced tiers with a middle adjustable shelf for storage Semi-gloss enamel finish ensures durability ,More Like This,Contemporary Country 23.5 in. W Wall Shelf with Towel Bar in White,https://www.homedepot.com/p/Contemporary-Country-23-5-in-W-Wall-Shelf-with-Towel-Bar-in-White-5225WH/315146015
Natural teak wood is strong and can hold weight up to 350 lbs.Space-saving design folds up when not in use Stainless steel hardware is rust- and corrosion-resistant ,Related Searches,36 in. Teak Wall Mount Slatted Folding Shower Seat with Stainless Steel Trim,https://www.homedepot.com/p/36-in-Teak-Wall-Mount-Slatted-Folding-Shower-Seat-with-Stainless-Steel-Trim-ISS115/204486312
"Vinyl garage flooring is ideal in garages, basements, or anywhere For residential or commercial use over cement and wood subfloors Resistant to most contaminants found in garage/work environments ",Husky,Diamond 10 ft. Wide x Custom Length Grey Commercial Grade Vinyl Flooring,https://www.homedepot.com/p/Husky-Diamond-10-ft-Wide-x-Custom-Length-Grey-Commercial-Grade-Vinyl-Flooring-HK70DT10X1SG/204820746
"Hardwired video doorbell with 1536p HD Head to Toe Video Dual-band wifi, 3D Motion Detection, requires doorbell wiring HD Audio, Two-Way Talk, built-in Alexa Greetings, Birds Eye View ",Ring,"Video Doorbell Pro 2 - Smart Wired WiFi Doorbell Cam with Head-to-Toe HD Video, Bird's Eye View, and 3D Motion Detection",https://www.homedepot.com/p/Ring-Video-Doorbell-Pro-2-Smart-Wired-WiFi-Doorbell-Cam-with-Head-to-Toe-HD-Video-Bird-s-Eye-View-and-3D-Motion-Detection-B086Q54K53/315964729
"Decorative metal plant stand for indoor use Can support plants up to 120 lbs.Black, powder-coated durable metal ",Vigoro,12 in. x 21 in. Black Metal Indoor Round Plant Stand,https://www.homedepot.com/p/Vigoro-12-in-x-21-in-Black-Metal-Indoor-Round-Plant-Stand-51160/317641065
"10 times stronger than glass Lightweight and easy to handle UV resistant, 10 year non-yellowing warranty ",OPTIX,36 in. x 72 in. x 0.093 (3/32) in. Clear Acrylic Sheet,https://www.homedepot.com/p/OPTIX-36-in-x-72-in-x-0-093-3-32-in-Clear-Acrylic-Sheet-MC-10/202038046
"Enjoy free local TV on multiple TVs, Antop Splitters and antennas Splits signal to eight different destinations18K gold-plated for maximum signal transfer, corrosion resistance ",Antop,8-Way 2GHz 5-2050MHz Low Loss RF Splitter for TV Satellite Cable All Ports DC Power,https://www.homedepot.com/p/Antop-8-Way-2GHz-5-2050MHz-Low-Loss-RF-Splitter-for-TV-Satellite-Cable-All-Ports-DC-Power-AT-709/300490947
Wet/dry vac for general cleanup of small-volume debris Compact size is great for easy transport and stowing Features the RIDGID lifetime warranty ,RIDGID,"6 Gallon 3.5 Peak HP NXT Wet/Dry Shop Vacuum with Filter, Locking Hose and Accessories",https://www.homedepot.com/p/RIDGID-6-Gallon-3-5-Peak-HP-NXT-Wet-Dry-Shop-Vacuum-with-Filter-Locking-Hose-and-Accessories-HD06001/306256721
Glamorous laser light projector for indoor and outdoor parties50 light shows with 122 effects enable versatile party lighting50 ft. LED projection effectively lights up yards and large areas ,As Seen on TV,Startastic Max 12 Color Combinations Remote-Controlled Outdoor/Indoor Motion Laser Light Projector,https://www.homedepot.com/p/As-Seen-on-TV-Startastic-Max-12-Color-Combinations-Remote-Controlled-Outdoor-Indoor-Motion-Laser-Light-Projector-1562/307288889
Lightweight breathable t-shirts with a 33/67 cotton/poly blend Drop shoulder t-shirt seams reduce wear Moisture-wicking short sleeve work shirt keeps users dry at work ,Milwaukee,Men's X-Large Black Cotton/Polyester Short-Sleeve Hybrid Work T-Shirt,https://www.homedepot.com/p/Milwaukee-Men-s-X-Large-Black-Cotton-Polyester-Short-Sleeve-Hybrid-Work-T-Shirt-603B-XL/318966315
Engineered with technology to charge up to 5 times faster Spark and reverse polarity protection for added safety500 Lumens LED flashlight for convenience ,NOCO,Boost X 12-Volt 4250 Amp Lithium Jump Starter,https://www.homedepot.com/p/NOCO-Boost-X-12-Volt-4250-Amp-Lithium-Jump-Starter-GBX155/318227939
Product Overview Specifications Questions & Answers Customer Reviews,Questions & Answers,Classic 2 1/2 Inch Faux Wood Blinds,https://custom.homedepot.com/p/custom-blinds/VENETA-Classic-2-1-2-in-Faux-Wood-Blinds/305091404
Helps children gain stability after climbing up Durable plastic construction offers a comfortable grip Works with most Swing-N-Slide playsets ,Swing-N-Slide Playsets,Green Safety Handles (2-Pack),https://www.homedepot.com/p/Swing-N-Slide-Playsets-Green-Safety-Handles-2-Pack-WS-4410/204844067
60V Flex-Force®  battery included which works with 75+ tools.Self Propelling paddles help you get the job done quickly.Easily put the snow where you want it with the Quick-turn chute.,Toro,Power Clear 21 in. 60-Volt Brushless Cordless Single-Stage Electric Snow Blower with 2.5 Ah and 7.5 Ah Battery/Charger,https://www.homedepot.com/p/Toro-Power-Clear-21-in-60-Volt-Brushless-Cordless-Single-Stage-Electric-Snow-Blower-with-2-5-Ah-and-7-5-Ah-Battery-Charger-39921/322430694
"Deck screws for treated wood & all exterior material applications3-1/2 inch star drive screw with nibs & patented thread design Coated, Corrosion-resistant finish (5 lb./ Approx.243 pcs)",Deckmate,3-1/2 in. Tan Exterior Self-Starting Star Flat-Head Wood Deck Screws #10 (5 lbs./280 pcs),https://www.homedepot.com/p/Deckmate-3-1-2-in-Tan-Exterior-Self-Starting-Star-Flat-Head-Wood-Deck-Screws-10-5-lbs-280-pcs-312DMT5/305418721
Replaces the deadbolt lock you already have Unlock the door from anywhere with your phone using the Nest App Always know when someone goes in and out of your home ,Google,Nest x Yale Lock - Tamper-Proof Smart Deadbolt Lock with Nest Connect - Black Suede,https://www.homedepot.com/p/Google-Nest-x-Yale-Lock-Tamper-Proof-Smart-Deadbolt-Lock-with-Nest-Connect-Black-Suede-RB-YRD540-WV-BSP/318061032?ITC=AUC-216393-23-12070
"Electrochemical sensor detects poisonous carbon monoxide gases Easy installation - operates on two, AA alkaline batteries Protection during power outages and no low battery chirps ",Kidde,"Firex Carbon Monoxide Detector, Battery Operated, CO Detector",https://www.homedepot.com/p/Kidde-Firex-Carbon-Monoxide-Detector-Battery-Operated-CO-Detector-21030863/202756110
Adjustable floor door stops built with solid brass material Helps protect your walls from damage caused by the door Satin chrome finish adds a beautiful touch to your home decor ,Everbilt,Satin Chrome Adjustable Floor Door Stop,https://www.homedepot.com/p/Everbilt-Satin-Chrome-Adjustable-Floor-Door-Stop-28367/314151894
"Track Order
Cards & Accounts
Military Discount
Profile
Product Lists
Security & Password",GE,29.9 in. 1.7 cu. ft. Over-the-Range Microwave in Stainless Steel with One Touch Cooking,https://www.homedepot.com/p/GE-29-9-in-1-7-cu-ft-Over-the-Range-Microwave-in-Stainless-Steel-with-One-Touch-Cooking-JVM6175SKSS/207025738
Made to fit 1-1/4 in. or 2 in. hitch receivers and carry 2 bikes Designed for easy loading and folds conveniently when not in use Made with rust-resistant materials for toughness and durability ,Advantage SportsRack,FlatRack 2-Bike Stand-Up Rack Hitch Bike Rack,https://www.homedepot.com/p/Advantage-SportsRack-FlatRack-2-Bike-Stand-Up-Rack-Hitch-Bike-Rack-2035/206297798
"Track Order
Cards & Accounts
Military Discount
Profile
Product Lists
Security & Password",Model #,In-Ground 6 ft. Green Diamond Commercial Park Bench without Back,https://www.homedepot.com/p/In-Ground-6-ft-Green-Diamond-Commercial-Park-Bench-without-Back-LC7862-GREEN/206940660
Withstands deterioration to offer longevity and strength Engineered to absorb mid to high-frequency reflections Helps minimize standing waves and flutter echoes ,Auralex,Studiofoam Metro Panels - 2 ft. W x 4 ft. L x 2 in. H - Charcoal (12 Panels per Box),https://www.homedepot.com/p/Auralex-Studiofoam-Metro-Panels-2-ft-W-x-4-ft-L-x-2-in-H-Charcoal-12-Panels-per-Box-2METROCHA/203468353
Innovative folding design is pleasing and compact when not in use Heavy duty metal construction holds up to 60 lbs. of laundry For use both indoors and outdoors ,STEP UP,40 in. Indoor/Outdoor White Retractable Wall Mount Drying Rack,https://www.homedepot.com/p/STEP-UP-40-in-Indoor-Outdoor-White-Retractable-Wall-Mount-Drying-Rack-Rack40White/313810798
"Anchoring adhesive for railings, rebar and bolts in masonry Self mixes in nozzles for a full 10 oz. of material Can be used in subfreezing temperatures ",Sika,10.1 fl. oz. AnchorFix-1 High Strength Fast Curing Anchoring Adhesive,https://www.homedepot.com/p/Sika-10-1-fl-oz-AnchorFix-1-High-Strength-Fast-Curing-Anchoring-Adhesive-7116160/300934591
Solid pine edge banding provides ample strength Made of solid hybrid core wood to ensure durability Engineered stiles and rails provide good stability ,Krosswood Doors,48 in. x 80 in. Craftsman Shaker 10-Lite Both Active MDF Solid Hybrid Core Double Prehung Interior Door,https://www.homedepot.com/p/Krosswood-Doors-48-in-x-80-in-Craftsman-Shaker-10-Lite-Both-Active-MDF-Solid-Hybrid-Core-Double-Prehung-Interior-Door-PHID-SH-420-40-68-138-AA/308602507
Great choice for your residential lawn or garden Drought-tolerant turf or sod requires full sun Ideal for USDA hardiness zones 1 to 11,Harmony,2.6 sq. ft. Platinum Bermuda Sod,https://www.homedepot.com/p/Harmony-2-6-sq-ft-Platinum-Bermuda-Sod-PLATINUM2-6SF/308689085
Includes both chrome wine and beverage shelves for customizing Accomodates up to 50 Wine bottles or up to 154 Cans Bright Interior LED light illuminates the entire cooler ,Vissani,"23.4 in. 50 Bottle, 154 Can, Wine and Beverage Cooler with Stainless Steel Door",https://www.homedepot.com/p/Vissani-23-4-in-50-Bottle-154-Can-Wine-and-Beverage-Cooler-with-Stainless-Steel-Door-HVBC58ST/318382844
"Durable shed siding panels for a beautiful, premium look Siding panels that help resist weather impacts, moisture & pests Install faster with LP Smart Side lightweight shed siding ",LP SmartSide,"SmartSide 38 Series Cedar Texture 8 in. OC Panel Engineered Treated Wood Siding, Application as 4 ft. x 8 ft.",https://www.homedepot.com/p/LP-SmartSide-SmartSide-38-Series-Cedar-Texture-8-in-OC-Panel-Engineered-Treated-Wood-Siding-Application-as-4-ft-x-8-ft-27874/100055901
"Virtually invisible, gives granite counter appearance of floating Non-intrusive, no corbels needed, no knee-knocking Strong support protects countertop from tipping or breaking ",THE ORIGINAL GRANITE BRACKET,10 in. L Bracket Countertop Support Bracket,https://www.homedepot.com/p/THE-ORIGINAL-GRANITE-BRACKET-10-in-L-Bracket-Countertop-Support-Bracket-LB-10/311400481
3 tools for professional window cleaning Scrubber to wash windows; squeegee gives a streak free finish Tools easily attach to the included telescopic 6' pole ,Unger,"Total Pro Kit with 14 in. Scrubber, 12 in. Squeegee and 6 ft. Telescoping Connect and Clean Pole",https://www.homedepot.com/p/Unger-Total-Pro-Kit-with-14-in-Scrubber-12-in-Squeegee-and-6-ft-Telescoping-Connect-and-Clean-Pole-988900/323406916
"Treated for protection against termites, fungal decay and rot Smooth surface can be painted or stained to match your décor Durable material was designed to withstand outside elements ",Model #,Pressure-Treated Timber HF Brown Stain (Common: 4 in. x 4 in. x 8 ft.; Actual: 3.56 in. x 3.56 in. x 96 in.),https://www.homedepot.com/p/Pressure-Treated-Timber-HF-Brown-Stain-Common-4-in-x-4-in-x-8-ft-Actual-3-56-in-x-3-56-in-x-96-in-17956/202287539
Performs in temperatures of 0°F to 110°FInterior LED Light UV protectant preserves the exterior finish ,Vissani,24.8 in. 4.9 cu. ft. Manual Defrost Chest Freezer with LED Light Type in White,https://www.homedepot.com/p/Vissani-24-8-in-4-9-cu-ft-Manual-Defrost-Chest-Freezer-with-LED-Light-Type-in-White-DCM5QRWW/317213436
"Compact size for ease of transportation and storage Rack and pinion telescoping fence rails24.5"" of rip capacity for ripping 4x8 plywood or OSB sheets ",DEWALT,15 Amp Corded 8-1/4 in. Compact Portable Jobsite Tablesaw (Stand Not Included),https://www.homedepot.com/p/DEWALT-15-Amp-Corded-8-1-4-in-Compact-Portable-Jobsite-Tablesaw-Stand-Not-Included-DWE7485/310178475
24-in. unlit artificial floral wreath ups your curb appeal Provides ample room for adding decorative lights (not included)Wreath is ideal for indoor and covered outdoor use ,Home Accents Holiday,24 in. Artificial Summer Floral Wreath,https://www.homedepot.com/p/Home-Accents-Holiday-24-in-Artificial-Summer-Floral-Wreath-23GR50006/322127751
High quality varnish produces rich glow of a hand rubbed finish Deep penetrating oil seals and resists stains in one step Covers up to 550 sq. ft.,Watco,1 Pint Danish Oil in Dark Walnut,https://www.homedepot.com/p/Watco-1-Pint-Danish-Oil-in-Dark-Walnut-265501/203164640
"Ready to use, textured stucco patch Moisture resistant and paintable No mixing required ",Sika,"1 Qt. Ready-Mix Stucco Patch and Repair, Textured Stucco Patch",https://www.homedepot.com/p/Sika-1-Qt-Ready-Mix-Stucco-Patch-and-Repair-Textured-Stucco-Patch-7116130/300934574
Lightweight breathable t-shirts with a 33/67 cotton/poly blend Drop shoulder t-shirt seams reduce wear Moisture-wicking short sleeve work shirt keeps users dry at work ,Milwaukee,Men's X-Large Blue Cotton/Polyester Short-Sleeve Hybrid Work T-Shirt,https://www.homedepot.com/p/Milwaukee-Men-s-X-Large-Blue-Cotton-Polyester-Short-Sleeve-Hybrid-Work-T-Shirt-603BL-XL/318967508
Brushless Motor Delivers Up to 36% Faster Cutting Up to 78% Longer Runtime Over 280 ONE+ Products – All Work With Any RYOBI ONE+ 18V Battery ,RYOBI,ONE+ HP 18V Brushless Cordless Jig Saw (Tool Only),https://www.homedepot.com/p/RYOBI-ONE-HP-18V-Brushless-Cordless-Jig-Saw-Tool-Only-PBLJS01B/314109552
50 Amp engine start jump starts vehicles in 60 seconds15 Amp smart charger for 12V gas or diesel engines Battery reconditioner technology can help to reverse damage ,VECTOR,15 Amp Automatic 12V Battery Charger with 50 Amp Engine Start and Alternator Check,https://www.homedepot.com/p/VECTOR-15-Amp-Automatic-12V-Battery-Charger-with-50-Amp-Engine-Start-and-Alternator-Check-BC15BV/313803267
Acid-based chemical stain concrete Interior or exterior stain Permanently changes the color of the concrete ,Eagle,1 Gal. Cocoa Interior/Exterior Acid Stain,https://www.homedepot.com/p/Eagle-1-Gal-Cocoa-Interior-Exterior-Acid-Stain-EDACO/203012910
Conveniently connects with other Bluetooth-enabled devices Illuminating lights ensure a great party experience Features handlebars and wheels for easy portability ,BEFREE SOUND,12 in. 2500-Watt Bluetooth Rechargeable Portable Party PA Speaker with Illuminating Lights,https://www.homedepot.com/p/BEFREE-SOUND-12-in-2500-Watt-Bluetooth-Rechargeable-Portable-Party-PA-Speaker-with-Illuminating-Lights-98595925M/311375884
"Track Order
Cards & Accounts
Military Discount
Profile
Product Lists
Security & Password",LG,1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt,https://www.homedepot.com/p/LG-1-8-cu-ft-30-in-W-Smart-Over-the-Range-Microwave-Oven-with-EasyClean-in-PrintProof-Stainless-Steel-1000-Watt-MVEM1825F/321666159
"Wireless control with Hubspace App, Google and Alexa Select from a shade of white or full color spectrum Combine lights into custom groups, set schedule, voice control ",EcoSmart,60-Watt Equivalent Smart A19 Color Changing CEC LED Light Bulb with Voice Control (1-Bulb) Powered by Hubspace,https://www.homedepot.com/p/EcoSmart-60-Watt-Equivalent-Smart-A19-Color-Changing-CEC-LED-Light-Bulb-with-Voice-Control-1-Bulb-Powered-by-Hubspace-11A19060WRGBWH1/318411935
"Easy refill from top of dispenser Mounts next to kitchen faucet with under-mount 12 oz. bottle Designed for use with soap, lotion or hand sanitizer ",Glacier Bay,Curved Nozzle Metal Soap Dispenser in Satin Nickel,https://www.homedepot.com/p/Glacier-Bay-Curved-Nozzle-Metal-Soap-Dispenser-in-Satin-Nickel-36664/206417844
Anti-siphon feature automatically prevents water contamination Heavy-duty brass body is resistant to corrosion Stainless steel seat at the faucet rear prevents leakage ,Woodford,1/2 in. x 1/2 in. MPT x Female Sweat x 12 in. L Freezeless Anti-Siphon Sillcock Valve,https://www.homedepot.com/p/Woodford-1-2-in-x-1-2-in-MPT-x-Female-Sweat-x-12-in-L-Freezeless-Anti-Siphon-Sillcock-Valve-17CP-12-MH/202527162?ITC=AUC-213132-23-12070
"Catches 99.9% of dust, viruses, and bacteria silently Filters air in huge rooms of about 1,300 sq. ft. every 30 minutes Switches modes automatically with smart sensor technology ",Alen,"BreatheSmart 75i Air Purifier with Pure, True HEPA Filter for Allergens, Dust, Mold, and Germs - 1,300 SqFt",https://www.homedepot.com/p/Alen-BreatheSmart-75i-Air-Purifier-with-Pure-True-HEPA-Filter-for-Allergens-Dust-Mold-and-Germs-1-300-SqFt-75i-Pure/316060920
"Track Order
Cards & Accounts
Military Discount
Profile
Product Lists
Security & Password",Compare Similar Utility Carts,Aluminum Utility Cart,https://www.homedepot.com/p/Aluminum-Utility-Cart-143/323318322
"Made to fit 1-1/4 in. or 2 in. hitch receivers and carry 2 bikes Padded, adjustable arms and tray design for secure transportation Tilts away for trunk access with folding sides for easy storage ",CURT,"Tray-Style Hitch-Mounted Bike Rack (2 Bikes, 1-1/4 in. or 2 in. Shank)",https://www.homedepot.com/p/CURT-Tray-Style-Hitch-Mounted-Bike-Rack-2-Bikes-1-1-4-in-or-2-in-Shank-18085/309095102
"Delivers professional, streak-free results to windows and glass Includes two blades to clean both large and small windows With easy release for simple and fast rubber blade replacement ",Unger,18 in. EZ Change Squeegee with 12 in. Interchangeable Blade,https://www.homedepot.com/p/Unger-18-in-EZ-Change-Squeegee-with-12-in-Interchangeable-Blade-985610/323405181
"Features hand brakes and flip-up seat with built in carry handle Flexible backrest allows for maximum comfort Aluminum frame, with a maximum weight capacity of 300 lbs.",Drive Medical,Clever Lite 4-Wheel Rollator Walker with 8 in. Casters in Flame Blue,https://www.homedepot.com/p/Drive-Medical-Clever-Lite-4-Wheel-Rollator-Walker-with-8-in-Casters-in-Flame-Blue-10243/203511931
"Garage floor jack designed to lift up to 6,000 lbs with ease Sturdy steel construction offers durable, long-lasting use Max height of 21 in. and lifting range is 5-1/2 in. x 18-1/2 in.",Husky,3-Ton Floor Garage Jack,https://www.homedepot.com/p/Husky-3-Ton-Floor-Garage-Jack-HD00107/204617108
5 bar pressure rating for power-packed cleaning10-minute heating and CSS technology for prolonged steam supply Carrying case for easy storage and portability ,RELIABLE,Brio Plus 400CC Home Steam Cleaner,https://www.homedepot.com/p/RELIABLE-Brio-Plus-400CC-Home-Steam-Cleaner-400CC/318071472
"20% More Power Than Pneumatic with 3-Mode RPM Control Delivers Greater Mobility & Increased Access Part of the M12 System, featuring over 100+ tools ",Milwaukee,M12 FUEL 12V Lithium-Ion Brushless Cordless 1/4 in. Right Angle Die Grinder w/CP High Output 2.5 Ah Battery Pack,https://www.homedepot.com/p/Milwaukee-M12-FUEL-12V-Lithium-Ion-Brushless-Cordless-1-4-in-Right-Angle-Die-Grinder-w-CP-High-Output-2-5-Ah-Battery-Pack-2485-20-48-11-2425/324615757
"Generates 13A Corded Power Rapid Stop braking feature brakes accessories in under 3 seconds Part of the M18 System, featuring over 250+ tools ",Milwaukee,M18 FUEL 18V Lithium-Ion Brushless Cordless 4-1/2 in./6 in. Braking Grinder with Paddle Switch (Tool-Only),https://www.homedepot.com/p/Milwaukee-M18-FUEL-18V-Lithium-Ion-Brushless-Cordless-4-1-2-in-6-in-Braking-Grinder-with-Paddle-Switch-Tool-Only-2980-20/307856719
"Track Order
Cards & Accounts
Military Discount
Profile
Product Lists
Security & Password",LG,30 in. W 22 cu. ft. French Door Refrigerator with Ice Maker in Stainless Steel,https://www.homedepot.com/p/LG-30-in-W-22-cu-ft-French-Door-Refrigerator-with-Ice-Maker-in-Stainless-Steel-LFCS22520S/206452443
Designed to hold a maximum weight of 220 lbs.Made of European pine for prolonged use Measures 70 in. L x 36 in. W x 46 in. H,TP Toys,Ahoy Wooden Play Boat,https://www.homedepot.com/p/TP-Toys-Ahoy-Wooden-Play-Boat-TP319/314042614
"10 in. Job Site Table, Rolling Stand, Push Stick, & Miter Gauge32-1/2 in. rip capacity On board storage system provides easy access to the site ",DEWALT,15 Amp Corded 10 in. Job Site Table Saw with Rolling Stand,https://www.homedepot.com/p/DEWALT-15-Amp-Corded-10-in-Job-Site-Table-Saw-with-Rolling-Stand-DWE7491RS/204512007
Efficient connector installation for data applications Cable easily passes through connector and trims flush to end face10-pack gives you added value for your connector needs ,Klein Tools,Pass-Thru Modular Data Plug CAT5E (10-Pack),https://www.homedepot.com/p/Klein-Tools-Pass-Thru-Modular-Data-Plug-CAT5E-10-Pack-VDV826-728/302355091
Fits any diameter variation within a cable series Sleeve has patented viewing windows that help in proper seating Has solid brass construction and dark nickel-plated finish ,Klein Tools,Universal F Compression Connector for RG6/6Q (50-Pack),https://www.homedepot.com/p/Klein-Tools-Universal-F-Compression-Connector-for-RG6-6Q-50-Pack-VDV812-612/203578658
Low-maintenance never needs painting or staining to retain appeal Steel-reinforced dual-wall panels and roof create a lasting shed Materials are UV protected to prevent sun and weather damage ,Lifetime,15 ft. x 8 ft. Outdoor Garden Shed,https://www.homedepot.com/p/Lifetime-15-ft-x-8-ft-Outdoor-Garden-Shed-6446/202080014
"Cart design to easily move sprayer and bucket together Pro XChange Pump System for easy, tool-free pump replacement Great for remodelers and contractors who paint frequently ",Graco,Magnum ProX17 Cart Airless Paint Sprayer,https://www.homedepot.com/p/Graco-Magnum-ProX17-Cart-Airless-Paint-Sprayer-17G178/206729260
